m_code,m_name,m_unit
09015287,Buehler Dressing Stick,ชิ้น
09015288,ฺBuehler Metadi Dimond Suspensions,ขวด
09015291,ลูกยางแดง เบอร์ 8,อัน
09015289,"ฺBuehter Wafering Blade 6"" No.114276",แผ่น
09004097,Sterile water,กล่อง
09005026,"ซองบรรจุเวชภัณฑ์ชนิดเรียบ 2"" ความยาว 200 เมตร/ม้วน",ม้วน
09015059,TISAB III (Concentrated) 475 ml bottle,ขวด
09005030,"ซองบรรจุเวชภัณฑ์ชนิดเรียบ 8"" ความยาว 200 เมตร/ม้วน",ม้วน
09012075,"Right lower ""E"" molar ELR5",ตัว
09009193,Uring bag (ถุงใส่ปัสสาวะ),เส้น/สาย
09010073,Glass Ionomer ketac N100 trial kit,ชุด
09009194,สายสวนปัสสาวะ No.12,เส้น/สาย
09009195,สายให้อาหารทางจมูก No.12,เส้น/สาย
09009196,สายให้อาหารทางจมูก No.14,เส้น/สาย
09009197,สายให้อาหารทางจมูก No.16,เส้น/สาย
09009198,สายสวนปัสสาวะ (Foley s catheter)No.14,เส้น/สาย
09009088,Luxator,ตัว
09009199,สายสวนปัสสาวะ (Foley s catheter) No.16,เส้น/สาย
09009200,สายสวนปัสสาวะ (Foley s catheter) No.10,เส้น/สาย
09015290,ลูกยางแดง เบอร์ 5,อัน
09006209,Mot canal plugger,ชุด
09006210,จุดต่อ EKG (เครื่อง Run EKG),ชุด
09014251,Polishing kit: Cormposite (Astropol Ivoclar Vivadent),ชุด
09006149,ตู้ล้างฟิล์ม,ตู้
09009026,Medicut No.22 (เข็มให้น้ำเกลือ),กล่อง
09013180,Jarabak plier with cutter,ชิ้น
09009162,Medicut No.20 Jelco,กล่อง
09014470,ชุดเดือยฟันและแกนฟันสำเร็จ FRC Postec Plus MF Kit,ชุด
09013204,Adhesive Remouving Plier,ตัว
09009187,Capilary tube,กล่อง
09013290,Mathicu Needle Holder,ตัว
09013291,Haif Round Plier,ตัว
09003118,Sevoflurome,ขวด
09006177,Tool slood(ตัวกัดหารอยร้าวของฟัน),อัน
09003154,Isoflurane,ขวด
09003157,Nimbex,ขวด
09013273,"Preweld bands singel tubes มี band 2 ตัว ฟันกรามแท้ซี่ที่ 1ฟันบนข้างซ้าย,ขวา",ชุด
09006028,Glass slab 7x15x2 ซม.,อัน
09003209,Ultasonic jel,กระป๋อง
09002234,File Niti ขนาด 25 ความผาย 0.12 ยาว 17 mm.,กล่อง
09002235,File Niti ขนาด 25 ความผาย 0.10 ยาว 21 mm.,กล่อง
09002236,File Niti ขนาด 25 ความผาย 0.08 ยาว 21 mm.,กล่อง
09002237,File Niti ขนาด 25 ความผาย 0.06  ยาว 21 mm.,กล่อง
09002239,File Niti ขนาด 30 ความผาย 0.06  ยาว 21 mm.,กล่อง
09002240,File Niti ขนาด 35 ความผาย 0.04  ยาว 21 mm.,กล่อง
09002241,File Niti ขนาด 35 ความผาย 0.06  ยาว 21 mm.,กล่อง
09002242,File Niti ขนาด 40 ความผาย 0.06  ยาว 21 mm.,กล่อง
09002243,File Niti ขนาด 40 ความผาย 0.04  ยาว 21 mm.,กล่อง
09002245,File Niti ขนาด 25 ความผาย 0.08  ยาว 25 mm.,กล่อง
09002246,File Niti ขนาด 25 ความผาย 0.06  ยาว 25 mm.,กล่อง
09002248,File Niti ขนาด 30 ความผาย 0.06  ยาว 25 mm.,กล่อง
09002250,File Niti ขนาด 35 ความผาย 0.06  ยาว 25 mm.,กล่อง
09002252,File Niti ขนาด 40 ความผาย 0.06  ยาว 25 mm.,กล่อง
09002254,File Niti ขนาด 45 ความผาย 0.06  ยาว 25 mm.,กล่อง
09001094,Composite resin LC สี C2,หลอด
09001095,Composite resin LC สี C3,หลอด
09014472,หัว Composhape No. 5255,ตัว
09006130,Hemostat (สำหรับจับฟิล์ม),ชิ้น
09006155,Suction Fraier,ตัว
09006164,Rongeurs friedman,ตัว
09006214,Periossteal Retractor Seltion,ตัว
09008013,Acrylic resin for temporary crown ยี่ห้อ Unifast ส่วนน้ำ,ขวด
09008014,Acrylic resin for temporary crown ยี่ห้อ Unifast ส่วนผง,ขวด
09009163,กรรไกรตัดชิ้นเนื้อ,ตัว
09010036,Miller bone file,ตัว
09010038,Molt periosteal,ตัว
09010041,Dental Elevator,ตัว
09010042,Elevator # E 191,ตัว
09010044,Towel clamps,ตัว
09010047,Elevator # E 190,ตัว
09002238,File Niti ขนาด 25 ความผาย 0.04  ยาว 21 mm.,กล่อง
09002244,File Niti ขนาด 25 ความผาย 0.102  ยาว 25 mm.,กล่อง
09002251,File Niti ขนาด 35 ความผาย 0.04  ยาว 25 mm.,กล่อง
09002253,File Niti ขนาด 40 ความผาย 0.04  ยาว 25 mm.,กล่อง
09002207,Clamp # 13A,ตัว
09006118,Endo : Root canal sperder D11TS,ตัว
09006122,Endo : Root canal sperder D11T,ตัว
09006208,Spreader GP2,ตัว
09013288,MIA Mobile Intraoral,แพค/ห่อ
09013263,Bracket  Seba,ชุด
09013178,Distal and cutters,ชิ้น
09013292,ยางแยกฟัน (Quik- Stik),อัน
09006213,เครื่องเขย่าปูนพลาสเตอร์,เครื่อง
09013303,Smartclip 022 Insertion,อัน
09013304,Smartclip Wire Disengage,อัน
09013276,Lateral  serew - Medium,ชิ้น
09013277,Lateral  serew - Mini,ชิ้น
09013312,Lateral  serew - Mixi,ชิ้น
09013313,Fan Type Screw,ชิ้น
09013305,Repid Molar Intruder,ชุด
09013306,Jones Jig H.G.Occlusal,ชุด
09013307,Jones Jig H.G. Gingival,ชุด
09013308,Self  Looking Separating (Medium),ชุด
09013309,Self  Looking Separating (long),ชุด
09013310,Bite Block Short,ชุด
09013311,Bite Block Long,ชุด
09013124,Spit round tubes. 030 x 018 inch,กล่อง
09013253,Open coil spring Titanium (Medium force )เส้นผ่าศูนย์กลาง .010x.030 นิ้ว ยาว 21 นิ้ว(gm/ม้วน),ม้วน
09013284,Open coil spring Nikel Titanium (light),ม้วน
09013293,"Intraoral elastic band 3/8 "" 2 oz(100 วง/ซอง)",ซอง
09013294,"Intraoral elastic band 3/8 "" 6 oz(100 วง/ซอง)",ซอง
09013297,"Intraoral elastic band 1/2 "" 14 oz(100 วง/ซอง)",ซอง
09013299,"Intraoral elastic band 3/8 "" 3.5 oz(100 วง/ซอง)",ซอง
09013283,Microimplant,ตัว
09015119,Loop,อัน
09015292,Loop forming pliers,ตัว
070405014,หมึก Injet  HP Officejet 4355 All in One Color (C9352A #22),กล่อง
070405033,หมึก HP Officejet 5610 All-in-one C9352A (22 Tri-color),กล่อง
090234006,ประเก็นยางขอบประตูเครื่องนึ่ง,เส้น
090399089,"แก๊สอ๊อกซิเจน ความดันไม่ต่ำกว่า 2,000 ปอนด์",ท่อ
099999172,Micro switch,ตัว
09008102,Fiber post refill,ตัว
09003086,Tylenol,เม็ด
09003089,Vitamin B complex,กล่อง
09003090,Vitamin C,ขวด
09003215,Vilerm 400 mg,เม็ด
09004084,Chorhexidine mouth wash,ขวด
09010031,ผงกระดุก : Bio-oss ขนาด 0.25 g.,ขวด
09010032,ผงกระดุก : Bio-oss ขนาด 0.5 g.,ขวด
09010049,ผงกระดุก : DFDBA  0.25 mm.,ขวด
09010051,ผงกระดุก : DFDBA  0.5 cc.,ขวด
09008038,Investment สำหรับงาน Crown & Bridge,ชุด
09008146,น้ำสำหรับผสมปูนทนไฟ (Monomer Investment),ขวด
09004042,Nitrous Oxide (N20),ถัง
09006212,Holder  หัวกรอ,อัน
09008182,หัวแปรงไฟฟ้า,อัน
09008183,ขนแปรงไฟฟ้า,อัน
09004066,แก๊ส Ethylne Oxide 100% ขนาดบรรจุ 100 g,กล่อง
09006219,ที่ใส่ฟิล์มเอ้กซ์เรย์,แผ่น
09011051,Implant Repical RP(61072),ชิ้น
09011203,Impression Coping Opentray NP3.5,ตัว
09011204,Impression Coping Opentray NP5.3,ตัว
09002054,K-file 21 mm No.60,กล่อง
09013272,แผ่นพลาสติกทำเฝือกสบฟัน ขนาด 5 x 5 นิ้วขนาด 0.020 แผ่นนิ่ม,แผ่น
09006134,How plier,ตัว
09013182,Band seater,ชิ้น
09013197,Arch Comtouring Plier,ตัว
09008137,Williss Gauge(ที่วัดความยาวของใบหน้า),อัน
09003077,Prednisolone 5 mg,ขวด
09009044,U29 สำหรับ sution:Silicone tube (U29ยาง) 7x11 มม.,ม้วน
09002266,File Niti ขนาด 30 ความผาย 0.04 ยาว 21 mm.,กล่อง
09002213,Clamp # 212,ตัว
09013316,แผ่นพลาสติกทำเฝือกสบฟัน ขนาด 5 x 5 นิ้วขนาด 0.120 แผ่นนิ่ม,แผ่น
09006220,Tube Suction,เส้น/สาย
09006221,3 Way Syringe,ชุด
09012148,กรรไกรตัดครอบฟันโลหะ,ตัว
09014475,Diamond taper fissure bur. HP,ตัว
09003015,Biocalm,เม็ด
09003041,Ibuprofen syrup,ขวด
09003166,Clinda mycin 300 mg,เม็ด
09003216,Cavumox 275 mg,เม็ด
09009037,Syring - Insulin,ชิ้น
09009201,NSS (100 cc.),ขวด
09012132,1 % xylocain 50 ml,ขวด
09003144,ยาชาเอทิลคลอไรด์ ชนิดสเปรย์,กระป๋อง
09015293,Stage Micrometer,อัน
09014304,"หัวขัดผ้า (Cotton) 1""",ตัว
09013215,ผง Self cure acrylic resin : Ortho clear,กระป๋อง
09008144,Acrylic resin(Heat-Cure)-Clear-ชุด,ชุด
09006064,XPC instument with bite wing,ชุด
09008041,Pindex Plus Pin Gold (เดี่ยว),กล่อง
09011090,F-TSVNBIO-Fixture tapered screw Vent implant ขนาด 4.7x10 mm.,ตัว
09002172,Composite Instrument,ชิ้น
09006021,Film Hoder (Single),อัน
09011005,"Alutment,Temporary GoldAdapt Non-Engaging (with screw) Titanium 4.5 RP(29037)",ชิ้น
09003203,Cephalexin 1 mg,ขวด
09003204,PGS (5 ล้าน U),ขวด
09003206,Metronidazole,ขวด
09008068,Zinc oxide eugenol paste,ชุด
09013279,"Bondable convertible buccaltube ฟันกรามซี่ที่ 1 ซ้าย,ขวา",ตัว
09013287,"Bondable convertible buccaltube ฟันกรามซี่ที่ 2 ซ้าย,ขวา",ตัว
09002040,"	File : H-file 25 mm No.90",กล่อง
09002074,K-file 25 mm No.90,กล่อง
09004092,Alcohol : 95% Ethyl Alcohol,ขวด
09004121,Chromic acid,ขวด
09015262,Na2HP04 sodiumdihydrogen phosphate,ขวด
09015263,NaHP04 sodiumdihydrogen phosphate,ขวด
09008149,Boxing wax,กล่อง
09008157,Gingi mask,กล่อง
09001047,Matrix Sectional-refill (matrix 72),ชุด
09004126,Fluoride : Topical F vanish- Durafor,หลอด
09006129,Hipower suction,ชิ้น
09008147,Para post fiber lux kit,ชุด
09006036,Mouth prob ผู้ใหญ่,อัน
09006139,Fox plate,ชิ้น
09014479,Gate gildden drill # 5,กล่อง
09002175,Clamp # 8,ตัว
090801017,ปืนสำหรับฉีดวัสดุ,ชุด
0170201012,ผ้าคลุมผู้ป่วยสีเขียวผืนใหญ่ ขนาด 36x36 นิ้ว,ผืน
09003165,Trileptal 300 mg,กล่อง
09003174,Fluconazole 50 mg.,เม็ด
09011062,Impression Coping WP- closed tray 6 mm(2949),ชิ้น
09011053,Implamt Replica,ชิ้น
09011081,Esthetic Abutment NOBRPL NP 1 mm.#32372,ชิ้น
09011056,Implamt Replica 6.0 mm.(29995),ชิ้น
09011070,"Esthetic Abutment NOBRPL 6.0,0.5 mm.#32375",ชิ้น
09003159,Amitriptyline 10 mg,เม็ด
09003012,Augmetin,เม็ด
090314023,Ventolin inhalor,หลอด
09012166,Xylocain Viscus,ขวด
090222001,ยาเวชภัณฑ์,ชุด
09006121,เครื่องวัดความดันโลหิตระบบดิจิตอล,เครื่อง
09003049,Micropore ขนาดเล็ก 1 นิ้ว * 10 หลา,ม้วน
09004090,Transpore,ม้วน
09001051,Primer (refill),ขวด
090404096,Propofol,แอมพลู
09003187,Flucozole 150 mg.,เม็ด
09003210,Cefazolin,ขวด
09006222,Ramus clamp left,ตัว
09016008,น้ำยาใส่ Suction,แกลลอน
09013269,ปากคีมสำหรับจับ Bondable buceal tubes ด้ามสั้น,อัน
09013270,ปากคีมสำหรับจับ Bondable buceal tubes ด้ามยาว,อัน
09013319,Crimp Pliers,ตัว
09008091,Parapost,กล่อง
09008148,Para post stainless steel,ชุด
09008162,Drill,ตัว
09008081,วัสดุตรวจหาวัสดุส่วนเกิน ยี่ห้อ Pressure spot indicator (PSI),ชุด
09010028,Probes แบบถี่,ตัว
09006015,Cheek Retractor ที่รั้งปากสำหรับถ่ายรูปขนาดเล็ก,อัน
09006016,Cheek Retractor ที่รั้งปากสำหรับถ่ายรูปขนาดใหญ่,อัน
09006200,แผ่นติดหน้าอกผู้ป่วย (EKG electrode reddot),แพค/ห่อ
09009032,SET ให้เลือด,อัน
09006131,กระปุกสำลี,ชิ้น
09006136,กระบอกใส่ Transfer forcep,อัน
09010076,เหงือกเทียม ขนาดเล็ก,แผ่น
09002211,Lentulo spiral 25 mm.No. 25 (สีแดง),กล่อง
09006137,Tripple  syringe,ตัว
09002055,File : K-file 21 mm No.70,กล่อง
09002056,File : K-file 21 mm No.80,กล่อง
09002071,File : K-file 25 mm No.60,กล่อง
09011195,048.601 RN Synocta Abutment H1.5 mm 1/0 exp.,ตัว
09011072,"Synocta Position Cylinder ,12 mm.",ตัว
09011100,"048.017V4 Impression Cap H 8,Plastic",ชิ้น
09011196,048.229 Synocta Plastic cop crown 10 mm.1/0 exp.,ตัว
09011197,048.350v SCS Occlusal screw 4.4 mm.1/0 exp.,ตัว
09011198,"048.611 synocta Abut 15 "" Angle B5.7 m 1/0",ตัว
09009076,Forceps # F150,ตัว
09011200,Straight Abutment,ตัว
09011201,UCLA Abutment 3.5 mm,ตัว
090316020,แก๊สผสม,ท่อ
09012103,Stainless steel band : Mandibular NL36,ตัว
09012105,Stainless steel band : Mandibular NL37,ตัว
09012107,Stainless steel band : Mandibular NL38,ตัว
0901208,Stainless steel band : Mandibular NL39,ตัว
09012119,Stainless steel band : Maxllary NU36,ตัว
09012146,Stainless steel band : Mandibular NL40,ตัว
09012121,Stainless steel band : Maxllary NU37,ตัว
09012123,Stainless steel band : Maxllary NU38,ตัว
09012124,Stainless steel band : Maxllary NU39,ตัว
09012125,Stainless steel band : Maxllary NU40,ตัว
09012108,Stainless steel band : Mandibular NU39,ตัว
09004089,Paraectamol injection,หลอด
090367026,Diclofenage 25 mg/Amp,เม็ด
09004045,Normal saline : ถุง 1000 ml,ถุง
09013318,Bow Diyider,อัน
09012019,"Left lower ""D"" molar DLL5",ตัว
09012032,"Left upper ""D"" molar DUL6",ตัว
09012045,Primary cuspid stainless crown Mandibular CL4,ตัว
09012097,Stainless steel band : Mandibular NL31,ตัว
09012112,Stainless steel band : Mandibular NU31,ตัว
09012004,Left central crown LC1,ตัว
09007016,ปลายผสมวัสดุพิมพ์ปาก (Refill) งานทันตกรรมประดิษฐ์ (Mixing tips) (Mixingtip Occlufast),แพค/ห่อ
09013004,Stainless steel laboratory wire 0.7 mm:- Hard,อัน
09014187,Whit stone HP #4 refill (SF0465),ตัว
09014048,Diamond  inverted bur .010 FG,ตัว
09014097,Steel bur : หัวมะเฟือง,ตัว
09014275,หัวขัด Porcelain PB 0596,กล่อง
09014215,Carborundum disc (Speparating Disk),กล่อง
09011052,Implant Repical WP(61074),ชิ้น
09011097,Esthetic Abutment NOBRPL WP 0.5 mm.#32374,ชิ้น
09011088,Esthetic Abutment NOBRPL 1 mm.#32373,ชิ้น
09014098,Steel fissure long shank bur .014 HP,ตัว
09014011,Carbide round long shank bur .012 FG,ตัว
09016035,ปลายทิปตัดเหงือก,ตัว
09014311,Finishing steel round .010 (Latch),ตัว
090299052,Craousel(Sumple Changer) with 7 positions for 1 cm cuvettes,ชุด
090211775,Ammonium Ferrous Sulphate,ขวด
09005074,"ซองบรรจุเวชภัณฑ์ชนิดเรียบ 10"" ความยาว 200 เมตร/ม้วน",ม้วน
09004008,Alcohol : Absolute Alchol 2.5 ลิตร,ขวด
09004031,Formalin,ขวด
09004041,"Nitric acid ,AR 2.5 L",ขวด
09004122,Gelatin 500 g,ขวด
09015065,Xylene 2.5 L.,ขวด
09011002,"Alutment  Gold Adapt Engaging ,5.0 WP (29014)",ชิ้น
09011177,Goldadpt Engaging Select RP #29010,ตัว
090404038,Heparin,ขวด
09003072,PGS (Penicillin G Sodium),ขวด
09003205,PGS (1 ล้าน U),ขวด
09012149,กระดานรัดตัวเด็ก,อัน
09008181,ฟันพลาสติก ยี่ห้อ Biolux,แผง
09006082,โมเดลฟัน P10-SBIA,ชิ้น
09002263,File Niti ขนาด 30 ความผาย 0.04  ยาว 21 mm.,กล่อง
09002264,File Niti ขนาด 30 ความผาย 0.06  ยาว 21 mm.,กล่อง
09002265,File Niti ขนาด 35 ความผาย 0.04  ยาว 21 mm.,กล่อง
09013274,"Preweld bands singel tubes มี band 2 ตัว ฟันกรามแท้ซี่ที่ 1ฟันล่างข้างซ้าย,ขวา",ชุด
09007029,ฟันพลาสติก,แผง
09007030,Attachment Male Small,ตัว
09007031,Attachment  Female Small,ตัว
090399861,Beaker,อัน
090399862,ชุดย้อมแกรม,ชุด
09015082,"Beaker 2,000 ml.""Pyrex""",ใบ
09015128,Parafilm,ม้วน
09015295,Adhesive  Disks,แพ็ค
09015152,Serological Pipette 10 ml,อัน
09008128,Add on (margin) 20 g.,ขวด
09008170,IPS Inline Pom A3,หลอด
09008172,Staining kit,ชุด
09008173,Glaze,ชุด
090319005,ไนล่อน,กล่อง
09016044,ชุดเครื่องมือทางการผ่าตัด (Surgical Kit),ชุด
09007033,ชุดเครื่องมือสำหรับพิมพ์ปาก (Prosthetic Kit),ชุด
09011206,ชุดเครื่องมืองานศัลยกรรมรากเทียม,ชุด
09016017,Lexer Gouge 5 mm STR.25 cc,ตัว
09016018,Lexer Gouge 10 mm STR.25 cc,ตัว
09016021,Dinmann Periost Elevator D/E,ตัว
09016022,Cottle Septub Speculum 50 MM,ตัว
09016023,Obwegeser Chin Retractor 16 cm.,ตัว
09016024,Obwegeser Mandible Retractor,ตัว
09016036,Free Raspatora SH/SH,ตัว
09016037,Obwegeser Periost Elevator 7 mm.,ตัว
09016038,Luniatschek guaze Packers 19 cm.,ตัว
09016009,Obwegeser Retractor 7,ตัว
09016010,Obwegeser Retractor 6,ตัว
09016011,Volkmann Bon Curetter 1,ตัว
09016002,Obwegeser Periost Elevator 9 mm,ตัว
09016014,Dingmann Bone Hold Clamp L Patt,ตัว
09016015,Obwegeser Periost Elevator 1,ตัว
09016016,Obwegeser Periost Elevator 2,ตัว
09016016,Obwegeser Periost Elevator 2,ตัว
09011199,Gold Adapt Engaging Seleot HP# 29006,ตัว
09004128,น้ำมันพ่น Hand Pice,ชุด
09013271,Bracket  Smartclip,ชุด
09015192,ช้อนตักสาร แบบโลหะ (Stainless) ขนาดใหญ่,อัน
09001099,Dentine (ผง Dentine vetapan 3D-Master สี 4M1 50 g),หลอด
09003161,Neurontin 100 mg,กล่อง
090401063,Solcoseryl eye gel (5 g),หลอด
0100101408,ยาสีฟัน,หลอด
09005063,ยาสีฟัน (แพ็ค),แพค
09011087,15 Esthetic Abutment NOBRPL 1 mm.#32380,ชิ้น
09013222,Elastic ligature (A1),กล่อง
090399075,เทปติดอบแก๊ส,ม้วน
09004127,Sculpturing Wax (สีเทา และสี Ivory รุ่น Classic อย่างละ 1 อัน),อัน
09006223,Ramus Clamp right,ตัว
09016039,Mini Screw 2.0 mm long 5 mm.,ตัว
09016040,Mini Screw 2.0 mm long 7 mm.,ตัว
09016041,Mini Screw 2.0 mm long 9  mm.,ตัว
09016042,Mini Screw 2.0 mm long 11 mm.,ตัว
09013006,Stainless steel laboratory wire 0.9 mm: - Hard,อัน
09008042,Pindex Twin Plus (คู่)(TWS Link plus pins 1 กล่อง 24 ตัว),กล่อง
09003031,Diclofenac 25 mg,เม็ด
09003080,Sodium fluoride 0.25 mg.,เม็ด
09002267,Wedjet,กล่อง
09002268,Main Cone,กล่อง
09013286,Expansion screws ขนาด 7 mm.(Mini),ตัว
09006171,UV lamp kil for milh-Q synthesis,ชุด
0199999337,millipak 40 Filter Unit 0.00 um.2/pk,ชุด
09006188,Oral Tube เบอร์ 6.5,กล่อง
09006187,Oral Tube เบอร์ 6,กล่อง
09006185,Oral Tube เบอร์ 7,กล่อง
09006186,Oral Tube เบอร์ 7.5,อัน
90399210,Tracheal Tube size 6 ท่อช่วยหายใจ,ชิ้น
090399211,Tracheal Tube size 6.5 ท่อช่วยหายใจ,ชิ้น
090399212,Tracheal Tube size 7 ท่อช่วยหายใจ,ชิ้น
090399213,Tracheal Tube size 7.5 ท่อช่วยหายใจ,ชิ้น
098805012004,Cefazolin Injection 1gm.,ไวแอล
009016043,Healing Abutment Contical (4.5x4 ),ชิ้น
098801010007,Carminative Mixture 180 ml,ขวด
090403167,ยาธาตุน้ำขาว,ขวด
009003014,Batadine 15 cc,ขวด
009003103,"Elastic bandege 4""",ม้วน
009003128,Elhyl chloride spray,ขวด
099999013,ก๊าซไนโตรเจน,ท่อ
009004110,ยาธาตุน้ำขาว,ขวด
009004106,Bevistocryl 120 wipes,ถุง
009004086,Pethedine 50 g,หลอด
009004087,Fentanyl Citrate inj 2 ml,หลอด
098804071006,Morphine Injection 10 mg,แอมพลู
09011214,Forsus split crimp,อัน
09013282,"Intraoral elastic band 3/8"" 3.5 oz (100 วง/ซอง)",ซอง
09013248,JASPER JUMPER KIT,ชุด
09003085,Tetracycline,เม็ด
090205056,ขวดน้ำกลั่น,ใบ
09015197,สไลด์ผ้า,กล่อง
090209027,แปรงล้างหลอดทดลอง (ขนาดกลาง),อัน
090209026,แปรงล้างหลอดทดลอง (ขนาดเล็ก),อัน
090209028,แปรงล้างหลอดทดลอง (ขนาดใหญ่),อัน
09016025,Obwegeser Ramus Osteotome 8 mm.,ตัว
09016026,Obwegeser Ramus Osteotome 12 mm.,ตัว
09016029,Obwegeser Septal Osteotome,ตัว
09016027,Tessier  Osteotome 10 mm.STR,ตัว
09016028,Tessier  Osteotome 10 mm.CVD,ตัว
09016030,Cottle Osteotome 4 mm.Wied,ตัว
09016031,Cottle Osteotome Gradua 7 mm.,ตัว
09016032,Cottle Osteotome 9 mm.Wied,ตัว
09016033,Lindermann Burr 2.65 mm.,ตัว
09016034,Lindermann Burr 3.45 mm.,ตัว
09003219,Desflurane,ขวด
09006059,Syringe (Disposable) 20 cc.,ชิ้น
09006060,Syringe (Disposable) 50 cc.,ชิ้น
09006014,Cheek Retractor ที่รั้งปากด้านข้าง ชนิด Double End,แพค/ห่อ
09015161,Themometer,ชุด
09008145,โลหะ Non-Precious,กล่อง
090211791,สารสอบเทียบปริมาณสารพันธุกรรม(Fast 96 - well Instrument Verifcation Plate),หน่วย
09008126,Partail tray (ซ้าย-ขวา),ชิ้น
09008084,วัสดุบันทึกการสบฟัน,กล่อง
0199999424,ไม้พาย (ไม้ไอติม),ด้าม
09003116,Bacterial filter (ผู้ใหญ่),อัน
09010068,Biyonet (ตัวเล็ก),คู่
09011208,Healing Collars 4.5 mm. D-5.5 mm.Length 5 mm./THCW 5/5,ตัว
09008185,Palane line,อัน
09008186,Ring,คู่
090395005,Bowle - Dick Test with Lead Free,แพค/ห่อ
090395006,Prospore II G.stearothermophilus steam,แพค/ห่อ
090399875,Unicem,กล่อง
09003002,Acyclovir 1 gm,หลอด
09001104,Tetric Color  (Ivoclar vivadent  1ชุด มี 7 สี),ชุด
09003184,Fresofol 1% MCT/L CT 20 ml.,กล่อง
09006156,Enamel hatchet,อัน
09003220,Lana comfor แท่งสำลี,ถุง
09008184,ยางที่ปากคีมคีบ (Rubber Grips),กล่อง
09014037,Diamond bur.021 FG รูปรักบี้,ตัว
09016001,Fanous Osteotome,ตัว
09016003,Wieder Tongus Depressor Large,ตัว
09016004,Malltew Nylon Facigs 200 g.,ตัว
09016005,Twist Drill 1.45 mm.,ตัว
09016006,Dress Forceps 25 mm.,ตัว
09016007,Tongue Depressor Wood,ตัว
09004095,ยากันเสียวฟัน : system,ขวด
09008051,Separating media : Rodofilm,แกลลอน
09013070,Australian wire .012 inch - special plus,ม้วน
09006162,Band  remover,อัน
09013192,Pusher & Scaler,ตัว
09001107,"Standard plus 4.1-4.8 RN ,12 mm.",ตัว
09001108,"Standard plus 4.8-4.8 RN ,10 mm.",ตัว
09001109,"Standard plus 4.8-4.8 RN ,12 mm.",ตัว
09011142,Healing Cap,ตัว
09001110,"RN Closure screw ,Small",ตัว
09001111,"Standard plus 3.3 -4.8 RN ,10 mm.",ตัว
09011082,"Standard plus implant ขนาด 3.3  (BL IMP,)",ตัว
09011176,024.2105.04 NC closure screw H 0.5 mm.,ตัว
09008140,arti-spot,ชุด
090404030,Erythromycin,ขวด
09003142,Terramycin eye oint,หลอด
09001114,Composite resin LC สี C1,หลอด
099999257,Solenoid Valve,ตัว
090303001,ปรอทวัดไข้ทางปาก,อัน
090311003,ไม้พันสำลี 2.1/2 นิ้ว,อัน
090313001,สำลีก้อน 450 กรัม,แพค/ห่อ
09003094,พลาสเตอร์ปิดแผล,กล่อง
09004118,Hibitane 500 ml.,ขวด
09009180,Multi Core Four,ชุด
090394001,Diamond taper bur .010 FG,ตัว
09008134,หน้ากากยางสำหรับใส่หัวกระโหลกศีรษะจำลองฝึกปฎิบัติงานทางทันตกรรม,ชิ้น
09002272,"Efuccra (ฟันพลาสติก 34U/A4,34L/A4)",แผง
09008030,Flux (สำหรับใช้เชื่อม Eand),ขวด
09015124,Microtome Blade 818(Blades PX302),กล่อง
09009206,Pindex system long พร้อม sleeres,กล่อง
09009207,Pindex system short  พร้อม sleeres,กล่อง
09003126,1% Lidocaine + Adrenaline (2%),ขวด
09007034,Adhesive,กล่อง
09011030,Healing Abutment 4.5 mm D x 3 mnH,ชิ้น
09011057,Implant Replica NP,ชิ้น
09011207,Impression Coping RP 4.3 mm.,ตัว
09011054,Implant Replica 4.3 RP,ชิ้น
09013325,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#16,ชิ้น
09013326,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#26,ชิ้น
09013327,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#36,ชิ้น
09013328,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#46,ชิ้น
09013329,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#17,ชิ้น
09013330,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#27,ชิ้น
09013331,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#37,ชิ้น
09013332,TP Tube Dircet Bond Tuber Non Converible .022 ซี่#47,ชิ้น
090394002,Surgical carbide .023,ตัว
090394003,Surgical carbide .027,ตัว
09008129,Shade guide vita pan,แผง
09013289,Ball Glasps,ตัว
09013323,Bird beak with cutter,ตัว
09008190,Luting cement,ชุด
09009156,File stand,อัน
09013333,Post สำเร็จรูป,ชุด
09015094,Cover glass : 22 x 40 mm.,กล่อง
09015268,Filter paper 15 cm.,กล่อง
09009081,Blade No.24,กล่อง
09013210,Straight root tip pick,อัน
09013211,Angel root tip pick,อัน
09006001,Amalgam carrier,อัน
09012041,Mouth gag : ขนาดกลาง,อัน
09503119,Chlorhexidine 2%,ขวด
09003119,Chlorhexidine 2%,ขวด
09006228,Superoxol,ขวด
09005047,ปลายพูกัน รีฟิว,ถุง
09009158,Coated vicryl 2/0 พร้อมเข็ม 26 mm.,กล่อง
09009159,Prolene 5/0  พร้อมเข็ม 15 mm.,กล่อง
09013320,Band single buccal tube (SBT),ตัว
09013321,Band  Double  buccal tube (DBT),ตัว
09013265,Band Triple Tube,ตัว
090410015,Fluconazole 200 mg,กล่อง
